"n","lambda","adj_x_bar","KLD","BC","Fc","eta_x_R_plus","derrorAB_dn","derrorBC_dn","x_bar"
8,1,50,Inf,0.401199428225097,0.995203947655668,4.48191953141267,0.180146447431143,-0.181201448407711,46.2982015029249
8.5,1,50,Inf,0.404982140801576,0.996404780837812,7.20411159607552,0.224197218707373,-0.274630311555128,38.4706922473131
9,1,50,Inf,0.355798171856002,0.997194613261123,7.1548566352018,0.187393659960167,-0.214882962831244,49.6805331712754
9.5,1,50,Inf,0.348625780119753,0.998360561476031,12.9093896820428,0.258852607338873,-0.344100114049801,47.1722476620874
10,1,50,Inf,0.324154334467215,0.998538281015089,11.5523901766327,0.201076133229554,-0.24924520317617,59.1328734025023
1,5,50,0.0483892958860889,0.98956785278028,0.336908814515353,0.0100731264269899,0.331343744706292,-0.00653821935929304,50.439971662658
1.5,5,50,0.180807098279,0.966388756589551,0.519013219184031,0.0216057275045807,0.345402246079984,-0.0133259644973604,49.9432021882666
2,5,50,0.401643766771676,0.936700653627298,0.655967613941711,0.0383640426927581,0.324698313941348,-0.0150327708061339,49.7002650733929
2.5,5,50,0.826737043592585,0.893972240411714,0.75529229904389,0.0610757501202927,0.307154928868342,-0.0238466362718409,50.5357377581457
3,5,50,1.43023795573775,0.846409047746856,0.823710903753077,0.0932778175150562,0.27812933601554,-0.0273485462978567,50.092301690353
3.5,5,50,1.90950972174721,0.818065034459186,0.856147087750888,0.119093893514494,0.249695519303603,-0.0304592882288776,49.9735534195582
4,5,50,2.62950231512496,0.787274197322478,0.887442837449297,0.156338570178994,0.229903009730039,-0.0348570913467518,50.4314106646254
4.5,5,50,3.23730013596588,0.763757720338397,0.903972934292737,0.191082390637247,0.210785503819387,-0.0392816931430374,49.2652967436441
5,5,50,4.78330615224341,0.712662155024575,0.930324544593649,0.26082867597085,0.197393604207524,-0.0456619390419865,51.19167338148
5.5,5,50,5.25486388725469,0.694140227455038,0.935208285011751,0.287697195341782,0.17935074536109,-0.040875028351298,50.1710559722975
6,5,50,7.17272641953836,0.661431001141175,0.952360901822551,0.386320413202329,0.181751151560189,-0.0668553228027037,51.7476186661155
6.5,5,50,8.04516118241997,0.644573223755973,0.958060059523737,0.43693650746384,0.170242994295574,-0.0625876429308296,52.2813258343186
7,5,50,Inf,0.610981822096912,0.965982632924689,0.534170030773454,0.158059876983123,-0.0662274361709398,53.1605056787015
7.5,5,50,10.6118671169853,0.594170027865787,0.967583585094131,0.619853117948489,0.146125528758918,-0.0597592731572724,48.1542606899409
8,5,50,Inf,0.608135382434469,0.968193312990885,0.668861131777296,0.143518821502466,-0.0708124659006199,45.5100889287733
8.5,5,50,Inf,0.565112737192333,0.975907179496957,0.845333558849756,0.144689085571551,-0.0821659572645452,47.9173462038786
9,5,50,Inf,0.552882361810189,0.980641934239087,0.978470610665825,0.140086570884443,-0.0922831976603195,51.7726880261193
9.5,5,50,Inf,0.525132268598233,0.985060621711056,1.28491999176579,0.148527163685502,-0.128054655134208,51.3161832807797
10,5,50,Inf,0.524715884815132,0.986936689327286,1.47383218987424,0.149947318311859,-0.129362933850575,51.2611094062943
1,10,50,0.0182917922147565,0.995848675714513,0.205081485159321,0.00516944699197585,0.203489764845036,-0.00347940203784175,49.9068035615281
1.5,10,50,0.0575333475403056,0.987724522249068,0.365125981676754,0.0114604824643509,0.2426275774526,-0.00647158420652258,50.1824987365746
2,10,50,0.146798172279857,0.971886546337109,0.486068062031118,0.018850724586624,0.240789335553878,-0.00769961072248936,50.1722329590698
2.5,10,50,0.305745818118582,0.948585609713368,0.606548000227564,0.0309666763941496,0.24260530421691,-0.0108337219494227,49.7827430225203
3,10,50,0.497058823482308,0.926631446337014,0.679788107831397,0.0433068413065686,0.228992624230956,-0.0140751625174523,49.0207100257713
3.5,10,50,0.790029511680125,0.898436279772982,0.743820202196573,0.0584251207933396,0.214544605538173,-0.0146860936238448,49.6962332181692
4,10,50,1.16378413572054,0.866137667238261,0.801990440914341,0.0799813171454169,0.205174066044972,-0.0198858010516886,50.6400916799952
4.5,10,50,1.62942787085704,0.837448414539762,0.838984976888805,0.106135311385267,0.196052819184426,-0.0246174863299255,49.0939399650486
5,10,50,1.96968061012965,0.820898688209293,0.858030514428018,0.12404242856691,0.17421369808265,-0.0204205306477703,48.7233862514497
