"","x_bar","y_bar","gamma","true_n","true_K","KLD","BC","Fc","derrorAB_dn","derrorBC_dn","derrorAB_dK","derrorBC_dK","emp_x_bar"
"127",10,50,0.1,3,70,0.1079817010587,0.978183551744814,0.447424818268029,0.0270844896169788,0.00280884570125243,0.000787012022488901,9.99390782281802e-05,10.0029028319046
"128",100,50,0.1,3,70,3.00238413705372,0.764813664872067,0.890539520001747,0.0295015663640214,0.00156572458850139,0.000856684851638145,6.66216899109802e-05,99.861872108558
"129",50,50,0.1,3,70,1.23192956915489,0.856770814274983,0.802096797365017,0.0291452691017197,0.00171681335348991,0.000846463684624144,7.05673771730572e-05,49.9152944767527
"130",10,50,1,3,70,0.0383958171975919,0.991573982168489,0.308604524786538,0.0153625980847566,0.0013543050686606,0.000445857455093001,4.5179225108814e-05,10.0141128836155
"131",100,50,1,3,70,1.38753210260447,0.846912545594618,0.816861544031436,0.0166933300646712,0.000589288373792241,0.000484252992645844,2.3766981220218e-05,99.9368047722915
"132",50,50,1,3,70,0.534380260069129,0.919681202777403,0.691296104225914,0.0165837461557613,0.000687514194366434,0.000481241891853191,2.6615652801139e-05,50.0132054741092
"133",10,50,10,3,70,0.00156673701613965,0.999619086088725,0.0750704368318972,0.00288543551676599,0.000197527506072887,8.36756948798487e-05,5.93551425745284e-06,10.002102874
"134",100,50,10,3,70,0.107989351252371,0.97859850325521,0.448549418368751,0.00314780295901859,4.04496484007779e-05,9.12616710968434e-05,1.41276942126715e-06,99.9965118548059
"135",50,50,10,3,70,0.0325044493346657,0.992829812020685,0.288818704823825,0.00311050964136794,6.07931706007343e-05,9.01319674396937e-05,2.00055273255999e-06,50.003493436093
"136",10,10,0.1,3,90,2.27300971617494,0.792617923407876,0.886941744235039,0.154845114017028,0.0980214700091264,5.55145000196133e-05,4.70047741490094e-05,9.9702601799632
"137",100,10,0.1,3,90,NA,0.468786292986806,0.987578968339506,0.162552956533307,0.0996939045368504,5.82647985785402e-05,4.85997689886491e-05,100.425862589754
"138",50,10,0.1,3,90,NA,0.554384564699682,0.975424391084179,0.161698579871507,0.0993159427289107,5.78437472130021e-05,4.82005885733081e-05,50.0987286744245
"139",10,10,1,3,90,1.099226575342,0.871899198539221,0.806998942990993,0.0970576773281627,0.0432855779066195,3.37001857801107e-05,1.91633251288241e-05,10.013771932789
"140",100,10,1,3,90,NA,0.550707104690858,0.97664351307523,0.103662066802055,0.0433841693003849,3.59350758163599e-05,1.9640813227292e-05,99.708722045062
"141",50,10,1,3,90,NA,0.646201124482786,0.954310517211261,0.102825997956753,0.0434953227334333,3.57215104188967e-05,1.97505946312142e-05,49.8838970461847
"142",10,10,10,3,90,0.091365861330088,0.982164154271014,0.426343074576422,0.0217136073638423,0.00341975262687002,7.40115626272244e-06,1.35044005145254e-06,9.99839508800064
"143",100,10,10,3,90,2.5507687231362,0.790550218031822,0.88121819673424,0.0234474966232919,0.00254189399805231,7.9844622655236e-06,1.0712233895739e-06,100.023546569853
"144",50,10,10,3,90,1.04821589673137,0.876937780338057,0.788099893128676,0.023323507610304,0.00269814146042511,7.97290329675553e-06,1.13853598015225e-06,50.0524804490633
"145",10,100,0.1,3,90,0.00493170593206613,0.998821509014017,0.127586307978408,0.00351186735578309,0.000170143458327349,0.000236823562965647,1.42960419761472e-05,10.0179486802803
"146",100,100,0.1,3,90,0.29052964980728,0.951367317163339,0.594004214465574,0.00382932701513685,-3.02231243299881e-05,0.000258222312997035,1.25699359177941e-06,99.9645206829858
"147",50,100,0.1,3,90,0.0935361185150264,0.981245440129016,0.421313023655263,0.00377112376802195,-5.50744331622926e-06,0.000254323821126682,2.81513843209147e-06,50.0218242834677
"148",10,100,1,3,90,0.00149717324321821,0.999635243703928,0.0741152746356275,0.00193342128550762,0.000105438888851712,0.000131183357317062,8.03000032046819e-06,10.001683599397
"149",100,100,1,3,90,0.108116257927852,0.978650424380016,0.445500965701512,0.00210794033268471,-3.4130635994547e-06,0.000143192109941567,7.72395888955045e-07,100.164906892979
"150",50,100,1,3,90,0.0325482222056713,0.992815116736157,0.286325992111555,0.0020864036454587,1.06733652072387e-05,0.000141603708373198,1.72019435904836e-06,50.0552760109
"151",10,100,10,3,90,4.89188162327729e-05,0.999987833483419,0.0142671757109473,0.000351009044299385,2.13302194966158e-05,2.39485942186193e-05,1.48137755377338e-06,10.0057229312114
"152",100,100,10,3,90,0.00472342158612515,0.998874184481633,0.126804381815436,0.000383830164629348,2.00539381328378e-06,2.6129606703543e-05,1.72372347938167e-07,100.033227156817
"153",50,100,10,3,90,0.00127446423665616,0.999689525666977,0.0677262898732952,0.00038015409956384,4.31176383654194e-06,2.58458074036451e-05,3.25619870198567e-07,50.0407964046938
"154",10,50,0.1,3,90,0.17841811183944,0.966508581391086,0.52684946435586,0.0375446017143175,0.00543621509362597,0.000493995098205504,8.55453190703111e-05,10.0037067552011
"155",100,50,0.1,3,90,NA,0.72210985185289,0.918074184259595,0.0408106425784709,0.00398422627892595,0.000537035973599193,6.85747683980398e-05,100.047678750071
"156",50,50,0.1,3,90,1.82377972672379,0.819357697955976,0.847843945087444,0.0403414391328935,0.00414802671908402,0.000530514792612611,7.03290275607229e-05,49.8836015595952
"157",10,50,1,3,90,0.0663497368073826,0.986135490020681,0.380076399926947,0.0214198363580654,0.00242880206268719,0.000280646386781846,3.63200277703155e-05,10.0134812020852
"158",100,50,1,3,90,2.05594945485444,0.808561518005321,0.859442792153976,0.0231883204317508,0.00143292617282941,0.000303510984869057,2.38339700285618e-05,99.9181795994445
