"","x_bar","y_bar","gamma","true_n","n","error_AB","error_BC"
"326",100,10,0.1,1,0.3,-0.897689134928502,0.0343296934724222
"327",50,10,0.1,1,0.3,-0.78519206587908,0.0359632928254901
"328",10,10,1,1,0.3,-0.260406002557642,0.0273866603262082
"329",100,10,1,1,0.3,-0.8037763393763,0.0229681765188665
"330",50,10,1,1,0.3,-0.651185791579987,0.023820929132038
"331",10,10,10,1,0.3,-0.0580410853396612,0.00572241425942726
"332",100,10,10,1,0.3,-0.395769457655164,0.00556610379364071
"333",50,10,10,1,0.3,-0.241774297536117,0.00592976815246593
"334",10,100,0.1,1,0.3,-0.0600058059048578,0.00578936970409691
"335",100,100,0.1,1,0.3,-0.399395006216329,0.00466278056073509
"336",50,100,0.1,1,0.3,-0.245012042093713,0.00502832445232581
"337",10,100,1,1,0.3,-0.0334157914415654,0.00344078810200352
"338",100,100,1,1,0.3,-0.262984721685329,0.00292625332534572
"339",50,100,1,1,0.3,-0.151743585148806,0.00322712104898374
"340",10,100,10,1,0.3,-0.00592415137871722,0.000684054726372298
"341",100,100,10,1,0.3,-0.0585436286312469,0.000562678807026639
"342",50,100,10,1,0.3,-0.0316399023218963,0.000513837687228718
"343",10,50,0.1,1,0.3,-0.111659925790791,0.010829779039708
"344",100,50,0.1,1,0.3,-0.582228714872939,0.00825311669972194
"345",50,50,0.1,1,0.3,-0.398876756642944,0.00928050312203641
"346",10,50,1,1,0.3,-0.0657767223540287,0.00656424273021986
"347",100,50,1,1,0.3,-0.42302143239492,0.00545605124046302
"348",50,50,1,1,0.3,-0.264033618489726,0.00584175328112581
"349",10,50,10,1,0.3,-0.0125119860043434,0.00137528296042622
"350",100,50,10,1,0.3,-0.112026765164609,0.00139737591810631
"351",50,50,10,1,0.3,-0.0592019909560078,0.00116920841403305
"352",10,10,0.1,2,0.3,-0.977658376923946,0.233579366609693
"353",100,10,0.1,2,0.3,-1.40156330058105,0.239121062252313
"354",50,10,0.1,2,0.3,-1.33862295200293,0.239923996697949
"355",10,10,1,2,0.3,-0.764935722405241,0.145659815645322
"356",100,10,1,2,0.3,-1.3407246925269,0.15356051052267
"357",50,10,1,2,0.3,-1.23769812432359,0.152837676707268
"358",10,10,10,2,0.3,-0.239781156231728,0.0291317087452908
"359",100,10,10,2,0.3,-0.968269153360639,0.0346847229617385
"360",50,10,10,2,0.3,-0.724969099422266,0.0336625218239528
"361",10,100,0.1,2,0.3,-0.255004375866204,0.0283291055546713
"362",100,100,0.1,2,0.3,-0.997664652352627,0.0288590646584448
"363",50,100,0.1,2,0.3,-0.751921044361106,0.0283628501715087
"364",10,100,1,2,0.3,-0.151022959093286,0.0159995227286154
"365",100,100,1,2,0.3,-0.788900126812991,0.0171301641224417
"366",50,100,1,2,0.3,-0.539519598648192,0.017350686543507
"367",10,100,10,2,0.3,-0.0291424307998352,0.00302533698965345
"368",100,100,10,2,0.3,-0.253140377674498,0.00312549048304306
"369",50,100,10,2,0.3,-0.138775721295761,0.00314050812949094
"370",10,50,0.1,2,0.3,-0.430679981903753,0.0546334700914639
"371",100,50,0.1,2,0.3,-1.19027320561076,0.056207889089202
"372",50,50,0.1,2,0.3,-0.995001130724736,0.0558356797973012
"373",10,50,1,2,0.3,-0.273129313347654,0.031773739192844
"374",100,50,1,2,0.3,-1.02436514474524,0.0339696962419802
"375",50,50,1,2,0.3,-0.786847207544812,0.0338592447316322
"376",10,50,10,2,0.3,-0.0579363625134238,0.00602435999186056
"377",100,50,10,2,0.3,-0.428721961078081,0.00699422682041801
"378",50,50,10,2,0.3,-0.251851548251071,0.00629427751490914
"379",10,10,0.1,3,0.3,-1.35208568442263,0.559924039669158
"380",100,10,0.1,3,0.3,-1.62565527255525,0.580232129639546
"381",50,10,0.1,3,0.3,-1.59081535782759,0.578761448833457
"382",10,10,1,3,0.3,-1.15283371593346,0.360659182740006
"383",100,10,1,3,0.3,-1.57891398868815,0.384716756734706
"384",50,10,1,3,0.3,-1.5171162885983,0.382516406166812
"385",10,10,10,3,0.3,-0.478995576767282,0.0766319088314584
"386",100,10,10,3,0.3,-1.31776281903848,0.0934448388005669
"387",50,10,10,3,0.3,-1.10541202772142,0.0919988694407273
"388",10,100,0.1,3,0.3,-0.50736875672688,0.0708218197313415
"389",100,100,0.1,3,0.3,-1.34044668009442,0.0777317230621261
"390",50,100,0.1,3,0.3,-1.13343653597883,0.0765715048320409
"391",10,100,1,3,0.3,-0.323866224800864,0.0403984185895303
"392",100,100,1,3,0.3,-1.16654686047115,0.0473092710216248
"393",50,100,1,3,0.3,-0.905606099916304,0.0457538546640363
"394",10,100,10,3,0.3,-0.0691939672040226,0.00728617997315116
"395",100,100,10,3,0.3,-0.504378469870147,0.00879907107876824
"396",50,100,10,3,0.3,-0.297863951700041,0.00811467165292162
"397",10,50,0.1,3,0.3,-0.774027340478695,0.138704152428464
"398",100,50,0.1,3,0.3,-1.47853225611322,0.150397256048156
"399",50,50,0.1,3,0.3,-1.3420845458203,0.149470173336025
"400",10,50,1,3,0.3,-0.538539710092801,0.0813163572105136
"401",100,50,1,3,0.3,-1.35926913871626,0.0904062193444277
"402",50,50,1,3,0.3,-1.16328565357406,0.0900733104951922
"403",10,50,10,3,0.3,-0.132563832245697,0.0146292537311181
"404",100,50,10,3,0.3,-0.767441268716036,0.0189338472851817
"405",50,50,10,3,0.3,-0.50161691025249,0.0173774290368308
"406",10,10,0.1,4,0.3,-1.58326309540565,0.95009430131835
"407",100,10,0.1,4,0.3,-1.75242567802431,0.978334388687611
"408",50,10,0.1,4,0.3,-1.73425916643915,0.979788335377834
"409",10,10,1,4,0.3,-1.41884670157761,0.655447060103887
"410",100,10,1,4,0.3,-1.71378986353252,0.685506950013542
"411",50,10,1,4,0.3,-1.67565885740494,0.685437354268064
"412",10,10,10,4,0.3,-0.738773518483435,0.159002990996659
"413",100,10,10,4,0.3,-1.53255099868102,0.190013731857088
"414",50,10,10,4,0.3,-1.36898010737189,0.185866120334351
"415",10,100,0.1,4,0.3,-0.76275183116212,0.136825357105692
"416",100,100,0.1,4,0.3,-1.53365466264138,0.151405463353997
"417",50,100,0.1,4,0.3,-1.37881481583432,0.149757652471785
"418",10,100,1,4,0.3,-0.519163894471126,0.0784044274302625
"419",100,100,1,4,0.3,-1.40091787557955,0.0916764009286108
"420",50,100,1,4,0.3,-1.17935937251949,0.0891377106219131
"421",10,100,10,4,0.3,-0.124349675913253,0.0139365200311623
"422",100,100,10,4,0.3,-0.75245549927121,0.0179815125040895
